epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
104,238.283,0.72729,0.42024,0.88993,0.99395,0.95455,0.9919,0.71679,1.02658,0.4662,0.99581,0.0009803,0.0009803,0.0009803
105,240.424,0.75808,0.42205,0.88691,0.96878,0.95455,0.98348,0.69609,1.13329,0.51621,1.02937,0.0009704,0.0009704,0.0009704
106,242.63,0.80045,0.43134,0.91031,0.98479,0.98129,0.99216,0.7161,1.04658,0.48233,1.01153,0.0009605,0.0009605,0.0009605
107,244.916,0.73557,0.41807,0.90065,0.97412,0.98485,0.99304,0.72851,1.04934,0.47235,1.00514,0.0009506,0.0009506,0.0009506
108,247.088,0.73417,0.40304,0.88066,0.97877,0.98485,0.9944,0.71948,1.0496,0.44023,1.01347,0.0009407,0.0009407,0.0009407
109,249.329,0.73783,0.42655,0.88592,0.98802,0.98485,0.99485,0.72086,1.08742,0.45902,1.019,0.0009308,0.0009308,0.0009308
110,251.503,0.74581,0.41947,0.8986,0.9634,0.98485,0.99351,0.7053,1.1244,0.50163,1.0279,0.0009209,0.0009209,0.0009209
111,253.71,0.74371,0.42122,0.89599,0.98894,0.9697,0.9937,0.71255,1.10288,0.47915,1.02203,0.000911,0.000911,0.000911
112,255.861,0.7483,0.41192,0.89023,0.98248,0.98485,0.99413,0.70934,1.12054,0.45075,1.04029,0.0009011,0.0009011,0.0009011
113,258.073,0.73838,0.41021,0.89151,0.97043,0.99458,0.99324,0.71849,1.09256,0.45559,1.02059,0.0008912,0.0008912,0.0008912
114,260.267,0.72634,0.40722,0.88773,0.94312,1,0.99171,0.73652,1.03588,0.47745,0.99069,0.0008813,0.0008813,0.0008813
115,262.457,0.73328,0.40616,0.88681,0.97043,0.99437,0.99156,0.71975,1.08185,0.48942,1.0244,0.0008714,0.0008714,0.0008714
116,264.645,0.72246,0.40538,0.88208,0.94931,0.98485,0.99153,0.7137,1.06212,0.47985,1.01636,0.0008615,0.0008615,0.0008615
117,266.825,0.73035,0.41092,0.88503,0.96515,0.98485,0.99243,0.71671,1.08711,0.46663,1.03161,0.0008516,0.0008516,0.0008516
118,269.005,0.73685,0.41738,0.88713,0.97029,0.98954,0.98789,0.71897,1.06361,0.46165,1.01493,0.0008417,0.0008417,0.0008417
119,271.205,0.74271,0.41045,0.88162,0.95635,0.99601,0.99335,0.71353,1.08439,0.45427,1.03276,0.0008318,0.0008318,0.0008318
